Date / Time,City,State,Shape,Duration,Summary,Posted
7/27/16 23:00,Wheaton,IL,Triangle,1 second,It was fast and silent.,42584
7/27/16 22:50,Tooele,UT,Triangle,5-10 minutes,"Bunch of super bright lights on base in long triangle; was gliding, with a humming sound. After 2-3 blocks, it disappeared!",42598
7/27/16 22:35,Sandy,UT,Triangle,30 seconds,we were outside watering lawn when lights appeared. ((NUFORC Note: Chinese rocket re-entry. PD)),42584
7/27/16 21:15,Whiting,IN,Triangle,<15 seconds,Triangle moving at high rate of speed,42584
7/27/16 21:00,Thomaston,CT,Triangle,5-10 minutes,My husband and I brought the dog out around 9 pm and saw a large black / daek gray triangle with 3 red lights and 1 white light hoverin,42584
7/27/16 08:00,Plainville,CT,Triangle,3-4 minutes,Saw a irregular shaped object low flying in the distance with two red blinking lights one on top and on the bottom.,42584
7/26/16 22:30,Diamond Lake,OR,Triangle,2 hours,Two objects seen in central Oregon.,42584
7/25/16 22:30,Auburn,CA,Triangle,2 minutes,"Two (possibly three) extremely bright lights, on huge, low-flying, object. Lights brightened and dimmed, object suddenly disappeared.",42584
7/25/16 21:43,Madison,WI,Triangle,15 minutes,"It was hovering, not moving for a while then slowly started crossing the lake. It came closer and was a triangle. We saw two lights, th",42584
7/25/16 20:30,Phenix City,AL,Triangle,1-2 minutes,V-shaped objects in the shape of a W hovering over wal mart.,42584
7/24/16 22:50,Centennial,CO,Triangle,1 minute,I saw one low flying craft with 3 dim red/orange lights. Triangular shape with 1 light on each corner.,42584
7/24/16 11:00,Quincy,MA,Triangle,5 minutes,As I am waiting outside for my car to come out of the washing bay I look,42584
7/23/16 22:15,Mount Vernon,WA,Triangle,>1 minute,Shimmering object gliding across the sky much faster than any aircraft.,42584
7/23/16 17:26,Marlton,NJ,Triangle,3 minutes,"Marlton, NJ, 07/23/2016 - 5:26pm While building my deck i felt a drop of rain and gust of wind. I looked up to see if we were going to",42584
7/23/16 02:00,Caroline (Canada),AB,Triangle,20-30 seconds,"Equilateral triangle of lights few overtop of us, twice. ((anonymous report))((NUFORC Note: Sighting of ISS. PD))",42586
7/22/16 23:00,Madera,CA,Triangle,13 seconds,"3 bright white lights on triangler shaped obj.. Obj. was seen flying over Hwy 99 N, between Madera and Fresno Co. ((anonymous report))",42584
7/21/16 22:10,Spanish Fort,AL,Triangle,3 minutes,"Loud and very deep noise, coming from a very dark object with three lights in the sky.",42573
7/20/16 21:45,Marion,VA,Triangle,3 minutes,"Triangle shape with one red light in center flying low, slow, and quiet over wooded, mountainous area.",42573
7/19/16 22:00,Lakewood,WA,Triangle,10 seconds,3 colored lights that changed direction,42573
7/17/16 22:39,Winston-Salem,NC,Triangle,1 minute,I looked outside window like I always do at night and then I saw it above the trees and the lights fluttered back and forth.,42573
7/16/16 00:18,Mullingar (Ireland),,Triangle,24 seconds,SOHO C3 data anomaly with 2 triangular craft and connecting energy beam,42584
7/15/16 23:50,Charlotte,NC,Triangle,45 seconds,3 orange/yellow lights in a triangle on E Independence.,42573
7/15/16 20:10,Edmonton,AB,Triangle,4-6 minutes,Triangle of pulsating lights (plus 2 below). Lights appeared towards the tail end of the storm clouds.,42573
7/15/16 04:45,San diego,CA,Triangle,1 minute,Triangular UFO. ((anonymous report)),42573
7/14/16 10:00,Glennville,GA,Triangle,30 minutes,Craft with lights circled around and made several passes over town and surrounding areas. ((anonymous report)),42573
7/13/16 23:34,Las Vegas,NV,Triangle,10-15 minutes,"On the night of Wednesday the 13th of July 2016, I was outside taking my dog out to use the restroom. When I noticed some electrical in",42584
7/11/16 16:18,Spokane,WA,Triangle,~15 minutes,"Black Triangle Craft spotted in Spokane, Washington. ((NUFORC Note: Serious report, or maybe not?? PD))",42566
7/10/16 21:50,Frederick,MD,Triangle,2 minutes,"Very bright, organized pattern in sky, reddish orange in color",42566
7/10/16 01:56,Kihei,HI,Triangle,90 minutes,"I just came inside and its 3:32am now. @ ~1:56 am, I woke up to let my dogs out and I noticed a bright triangle shaped orange light.",42566
7/9/16 22:00,Fayetteville,NC,Triangle,5 seconds,"Large, slow, flying triangle aircraft with lights.",42566
7/9/16 21:47,Hurt,VA,Triangle,5 minutes,Triangular lighted object moving quickly from sw to ne at 1/8 size of moon.,42566
7/9/16 11:40,Spring,TX,Triangle,1-30 seconds,"Spotted, showed for a few seconds and disappeared into the clouds.",42566
7/4/16 21:00,Warren,OH,Triangle,3 minutes,"((NUFORC Note: Witness, who elects to remain totally anonymous, provides no information. PD))",42559
7/3/16 23:00,Buford,GA,Triangle,~3 minutes,3 big round lights in the shape of triangle over Lake Lanier. ((anonymous report)),42559
7/3/16 22:10,Michigan (Central Upper),MI,Triangle,1-2 minutes,Three yellow lights form a triangle in the U.P. night sky.,42559
7/3/16 09:20,Madison Heights,VA,Triangle,2-3 minutes,Three red lights in triangle shape hovering.,42559
7/3/16 04:15,Srinagar (India),,Triangle,1 minute,I saw a light in the sky. First i though it might be airplane but i didn't hear any sound then i saw that i was rotating clock wise and,42559
7/2/16 23:00,Memphis,TN,Triangle,10 minutes,"We were on river front, looking up into the sky when we noticed a low flying gray triangle with a short tail..on this tail, between 6 a",42559
6/30/16 22:45,Salisbury,NC,Triangle,15+ minutes,Aircraft flying low and fast with lights out of sync.,42559
6/28/16 21:06,Woodbridge,NJ,Triangle,<5 seconds,Small Triangle Shaped craft with Blinking Fuzzy balls performs corkscrew.,42559
6/28/16 11:30,Auburn,WA,Triangle,5 minutes,"Black craft seen over Auburn, WA.",42559
6/28/16 09:00,Grand Forks,ND,Triangle,5 minutes,Black triangle UFO hovering East to West over a University Campus,42559
6/27/16 23:00,Swartz Creek,MI,Triangle,2-5 minutes,Triangular craft with lights in Swartz Creek,42559
6/27/16 19:00,Henderson,NV,Triangle,1 minute,The craft was moving from south to north hover over above continue north and then turn to the left small circle stop in Hoverd like it,42559
6/26/16 20:30,Cypress,TX,Triangle,13 minutes,Diamond shaped and Red in color with flame shooting out the back.,42559
6/23/16 23:00,Brueno,ID,Triangle,2 hours,"Dancing Orbs and military triangular craft Near Mountain Home, ID",42559
6/22/16 01:35,Chajarí Entre Ríos (Argentina),,Triangle,3 minutes,"Unidentified flying object over Chajarí, Argentina.",42545
6/19/16 01:17,Idaho City (10.6 miles NW),ID,Triangle,20 minutes,"20 minute large triangle, no lights no noise only pulsing/pressure then segmented.",42545
6/18/16 01:20,Louisville,KY,Triangle,3 minutes,((HOAX??)) Triangular aircraft off side of I-264. ((anonymous report)),42545
6/17/16 10:23,Hendersonville,TN,Triangle,15 seconds,Very large triangular craft moving extremely fast at relatively low altitude. Approx. 3-5000 feet? ((anonymous report)),42545
6/14/16 11:00,Danvers,MA,Triangle,10 minutes,Traveling S on Mass. I-95 approaching exit 49 I observed a very shiny triangular shaped craft. ((anonymous report)),42537
6/11/16 20:00,Newburgh,IN,Triangle,10 minutes,"On 11JN16, at 20:00 in Newburgh, IN, at St. Johns Catholic Church a close relative of mine and myself witnessed what appeared to be 2",42537
6/10/16 22:30,Mount Laurel,NJ,Triangle,15 minutes,A triangle of one white light at the tip and 2 red slowly blinking lights. This was caught on tape. Hovered over the area.,42537
6/8/16 21:00,Palm Springs,CA,Triangle,5 minutes,"4 bright lighted ufos over Palm Springs, CA.",42531
6/2/16 22:45,Portland,OR,Triangle,1 minute,"3 bright dots and 3 bright lines nearly connecting them-outlining a perfect triangle floating still and bright, high in the S sky.",42524
6/1/16 22:11,Hyannis,MA,Triangle,2-3 minutes,Dark Red Sharks Tooth shaped UFO over Hyannis. Flew across night sky in 5 seconds,42531
5/30/16 21:45,Byron,GA,Triangle,30 minutes,We seen four bright orange triangler object two within 30sec of each other and another two about five minutes after. No sound and and m,42522
5/29/16 23:59,Fallon,NV,Triangle,2 minutes,"Small, triangular-shaped craft flying westerly, late Sunday evening of Memorial Day Weekend 2016",42559
5/29/16 21:45,Byron,GA,Triangle,30 minutes,We seen four bright orange triangler object two within 30sec of each other and another two about five minutes after. No sound.,42522
5/29/16 21:17,Boynton Beach,FL,Triangle,1 hour,Triangle like formation of 4 circles that appears to get dim then light up as it disappeared and reappeared. ((anonymous report)),42522
5/29/16 00:30,Jacksonville,FL,Triangle,1-2 minutes,"While stargazing, an ultra fast moving, glowing (white/yellow) object appeared in a clear, cloudless sky. ((anonymous report))",42522
5/29/16 00:00,Lowell,IN,Triangle,Unknown,"Looking out of my window, I saw a giant triangle, and then I fell asleep. ((anonymous report))",42522
5/26/16 21:30,Tampa,FL,Triangle,4-5 minutes,Triangular object spotted over Tampa 5/26/16 9:30 pm.,42522
5/22/16 23:00,Greeley,CO,Triangle,2 minutes,Seen a tringle red orange lights craft moving slowly from north to south west above my house in Greeley. ((anonymous report)),42516
5/22/16 22:00,Myrtle Beach,SC,Triangle,1 minute,"Triangular Fire object slowly lifts off the coast, then moves south at a steady rate of speed while increasing altitude.",42516
5/22/16 20:45,Evansville,IN,Triangle,>5 minutes,What looked like a car with 2 white headlights and 2 red break lights headed in NE dir.. May have landed. ((anonymous report)),42516
5/22/16 19:00,Grand Coulee,WA,Triangle,25-30 minutes,((HOAX))((NUFORC Note: All contact information is bogus. PD)) Triangular craft taking photos or absorbing power.,42516
5/21/16 23:15,Downingtown,PA,Triangle,~1 minute,Red and green lights on silent flying object at ~50 feet height and ~50 yard distance from me.,42516
