,  Location,     Time,     Truth
2140, NORTHWEST,    NIGHT,  FIREBALL
2141, NORTHWEST,  MORNING,  FIREBALL
2142, NORTHWEST,    NIGHT,  FIREBALL
2143,   MIDWEST,    NIGHT,  FIREBALL
2144,   MIDWEST,    NIGHT,  FIREBALL
2145,   MIDWEST,    NIGHT,  FIREBALL
2146,   MIDWEST,    NIGHT,  FIREBALL
2147,      WEST,    NIGHT,  FIREBALL
2148,      WEST,    NIGHT,  FIREBALL
2149, NORTHWEST,    NIGHT,  FIREBALL
2150,      WEST,    NIGHT,  FIREBALL
2151,     SOUTH,  MORNING,  FIREBALL
2152,      WEST,    NIGHT,  FIREBALL
2153,   MIDWEST,    NIGHT,  FIREBALL
2154, NORTHWEST,    NIGHT,  FIREBALL
2155, NORTHWEST,    NIGHT,  FIREBALL
2156,      WEST,    NIGHT,  FIREBALL
2157,     SOUTH,  MORNING,  FIREBALL
2158, NORTHWEST,    NIGHT,  FIREBALL
2159, NORTHWEST,    NIGHT,  FIREBALL
2160,     SOUTH,  MORNING,  FIREBALL
2161, NORTHWEST,    NIGHT,  FIREBALL
2162,   MIDWEST,    NIGHT,  FIREBALL
2163,     SOUTH,    NIGHT,  FIREBALL
2164, NORTHWEST,    NIGHT,  FIREBALL
2165,   MIDWEST,    NIGHT,  FIREBALL
2166,     SOUTH,    NIGHT,  FIREBALL
2167, NORTHWEST,    NIGHT,  FIREBALL
2168,      WEST,    NIGHT,  FIREBALL
2169,      WEST,    NIGHT,  FIREBALL
2170,   MIDWEST,AFTERNOON,  FIREBALL
2171,      WEST,    NIGHT,  FIREBALL
2172,   MIDWEST,    NIGHT,  FIREBALL
2173,      WEST,    NIGHT,  FIREBALL
2174,     SOUTH,    NIGHT,  FIREBALL
2175,     SOUTH,    NIGHT,  FIREBALL
2176,      WEST,    NIGHT,  FIREBALL
2177,     SOUTH,    NIGHT,  FIREBALL
2178,     SOUTH,    NIGHT,  FIREBALL
2179,   MIDWEST,    NIGHT,  FIREBALL
2180,     SOUTH,    NIGHT,  FIREBALL
2181,     SOUTH,    NIGHT,  FIREBALL
2182,      WEST,    NIGHT,  FIREBALL
2183,   MIDWEST,    NIGHT,  FIREBALL
2184,   MIDWEST,    NIGHT,  FIREBALL
2185, NORTHWEST,    NIGHT,  FIREBALL
2186,      WEST,    NIGHT,  FIREBALL
2187,   MIDWEST,    NIGHT,  FIREBALL
2188,   MIDWEST,    NIGHT,  FIREBALL
2189,   MIDWEST,    NIGHT,  FIREBALL
2190,      WEST,    NIGHT,  FIREBALL
2191,      WEST,    NIGHT,  FIREBALL
2192,     SOUTH,    NIGHT,  FIREBALL
2193, NORTHWEST,    NIGHT,  FIREBALL
2194,      WEST,  MORNING,  FIREBALL
2195, NORTHWEST,    NIGHT,  FIREBALL
2196, NORTHWEST,    NIGHT,  FIREBALL
2197,      WEST,    NIGHT,  FIREBALL
2198,   MIDWEST,    NIGHT,  FIREBALL
2199, NORTHWEST,    NIGHT,  FIREBALL
2200,      WEST,    NIGHT,  FIREBALL
2201,   MIDWEST,    NIGHT,  FIREBALL
2202,     SOUTH,    NIGHT,  FIREBALL
2203, NORTHWEST,    NIGHT,  FIREBALL
2204,   MIDWEST,    NIGHT,  FIREBALL
2205, NORTHWEST,    NIGHT,  FIREBALL
2206,   MIDWEST,    NIGHT,  FIREBALL
2207,   MIDWEST,    NIGHT,  FIREBALL
2208,     SOUTH,    NIGHT,  FIREBALL
2209,     SOUTH,    NIGHT,  FIREBALL
2210,      WEST,    NIGHT,  FIREBALL
2211,   MIDWEST,    NIGHT,  FIREBALL
2212,   MIDWEST,    NIGHT,  FIREBALL
2213, NORTHWEST,    NIGHT,  FIREBALL
2214,   MIDWEST,    NIGHT,  FIREBALL
2215,     SOUTH,    NIGHT,  FIREBALL
2216, NORTHWEST,    NIGHT,  FIREBALL
2217,      WEST,    NIGHT,  FIREBALL
2218,     SOUTH,    NIGHT,  FIREBALL
2219,     SOUTH,    NIGHT,  FIREBALL
2220,      WEST,    NIGHT,  FIREBALL
2221,      WEST,    NIGHT,  FIREBALL
2222,   MIDWEST,    NIGHT,  FIREBALL
2223,     SOUTH,    NIGHT,  FIREBALL
2224,      WEST,    NIGHT,  FIREBALL
2225, NORTHWEST,    NIGHT,  FIREBALL
2226, NORTHWEST,    NIGHT,  FIREBALL
2227,     SOUTH,AFTERNOON,  FIREBALL
2228, NORTHWEST,    NIGHT,  FIREBALL
2229,     SOUTH,    NIGHT,  FIREBALL
2230,   MIDWEST,    NIGHT,  FIREBALL
2231, NORTHWEST,    NIGHT,  FIREBALL
2232,      WEST,    NIGHT,  FIREBALL
2233,     SOUTH,    NIGHT,  FIREBALL
2234,     SOUTH,    NIGHT,  FIREBALL
2235, NORTHWEST,    NIGHT,  FIREBALL
2236,     SOUTH,    NIGHT,  FIREBALL
2237,   MIDWEST,    NIGHT,  FIREBALL
2238, NORTHWEST,    NIGHT,  FIREBALL
2239,   MIDWEST,    NIGHT,  FIREBALL
2240,     SOUTH,    NIGHT,  FIREBALL
2241, NORTHWEST,    NIGHT,  FIREBALL
2242,   MIDWEST,    NIGHT,  FIREBALL
2243,     SOUTH,    NIGHT,  FIREBALL
2244,   MIDWEST,    NIGHT,  FIREBALL
2245,      WEST,    NIGHT,  FIREBALL
2246, NORTHWEST,    NIGHT,  FIREBALL
2247,   MIDWEST,    NIGHT,  FIREBALL
2248,   MIDWEST,    NIGHT,  FIREBALL
2249,     SOUTH,    NIGHT,  FIREBALL
2250,      WEST,    NIGHT,  FIREBALL
2251,      WEST,    NIGHT,  FIREBALL
2252,      WEST,    NIGHT,  FIREBALL
2253,      WEST,    NIGHT,  FIREBALL
2254,   MIDWEST,    NIGHT,  FIREBALL
2255,      WEST,    NIGHT,  FIREBALL
2256,      WEST,    NIGHT,  FIREBALL
2257, NORTHWEST,    NIGHT,  FIREBALL
2258,     SOUTH,    NIGHT,  FIREBALL
2259,      WEST,    NIGHT,  FIREBALL
2260,     SOUTH,    NIGHT,  FIREBALL
2261,   MIDWEST,    NIGHT,  FIREBALL
2262,     SOUTH,    NIGHT,  FIREBALL
2263,     SOUTH,    NIGHT,  FIREBALL
2264,     SOUTH,    NIGHT,  FIREBALL
2265,     SOUTH,    NIGHT,  FIREBALL
2266,     SOUTH,    NIGHT,  FIREBALL
2267,   MIDWEST,    NIGHT,  FIREBALL
2268,     SOUTH,    NIGHT,  FIREBALL
2269,     SOUTH,    NIGHT,  FIREBALL
2270, NORTHWEST,    NIGHT,  FIREBALL
2271,   MIDWEST,    NIGHT,  FIREBALL
2272,     SOUTH,    NIGHT,  FIREBALL
2273,   MIDWEST,    NIGHT,  FIREBALL
2274,     SOUTH,    NIGHT,  FIREBALL
2275,   MIDWEST,    NIGHT,  FIREBALL
2276,   MIDWEST,    NIGHT,  FIREBALL
2277,   MIDWEST,    NIGHT,  FIREBALL
2278,   MIDWEST,    NIGHT,  FIREBALL
2279,   MIDWEST,    NIGHT,  FIREBALL
2280,   MIDWEST,    NIGHT,  FIREBALL
2281,   MIDWEST,    NIGHT,  FIREBALL
2282,     SOUTH,    NIGHT,  FIREBALL
2283, NORTHWEST,    NIGHT,  FIREBALL
2284,   MIDWEST,    NIGHT,  FIREBALL
2285,     SOUTH,    NIGHT,  FIREBALL
2286, NORTHWEST,    NIGHT,  FIREBALL
2287,   MIDWEST,AFTERNOON,  FIREBALL
2288,     SOUTH,  MORNING,  FIREBALL
2289,     SOUTH,  MORNING,  FIREBALL
2290,     SOUTH,    NIGHT,  FIREBALL
2291,     SOUTH,    NIGHT,  FIREBALL
2292,   MIDWEST,    NIGHT,  FIREBALL
2293,      WEST,    NIGHT,  FIREBALL
2294,      WEST,    NIGHT,  FIREBALL
2295,   MIDWEST,    NIGHT,  FIREBALL
2296,   MIDWEST,    NIGHT,  FIREBALL
2297,     SOUTH,  MORNING,  FIREBALL
2298,     SOUTH,  MORNING,  FIREBALL
2299,     SOUTH,  MORNING,  FIREBALL
2300, NORTHWEST,    NIGHT,  FIREBALL
2301,   MIDWEST,    NIGHT,  FIREBALL
2302,     SOUTH,    NIGHT,  FIREBALL
2303,     SOUTH,    NIGHT,  FIREBALL
2304,      WEST,    NIGHT,  FIREBALL
2305,     SOUTH,    NIGHT,  FIREBALL
2306,   MIDWEST,    NIGHT,  FIREBALL
2307, NORTHWEST,    NIGHT,  FIREBALL
2308,   MIDWEST,    NIGHT,  FIREBALL
2309,   MIDWEST,    NIGHT,  FIREBALL
2310,      WEST,    NIGHT,  FIREBALL
2311, NORTHWEST,    NIGHT,  FIREBALL
2312,   MIDWEST,    NIGHT,  FIREBALL
2313,      WEST,    NIGHT,  FIREBALL
2314,   MIDWEST,    NIGHT,  FIREBALL
2315, NORTHWEST,    NIGHT,  FIREBALL
2316,   MIDWEST,    NIGHT,  FIREBALL
2317, NORTHWEST,    NIGHT,  FIREBALL
2318,     SOUTH,    NIGHT,  FIREBALL
2319,      WEST,    NIGHT,  FIREBALL
