Date / Time,City,State,Shape,Duration,Summary,Posted
7/27/16 22:00,Palmdale,CA,Fireball,1 minute,"All 3 were flying across the sky downward, streaking across with what looked like sparks. ((NUFORC Note: Space debris. PD))",42584
7/27/16 21:50,Tracy,CA,Fireball,2 minutes,"Fireball Over Tracy, California. ((NUFORC Note: Reported to be re-entering Chinese rocket shell. PD))",42584
7/27/16 21:50,Mojave,CA,Fireball,~90 seconds,Huge meteor over Mojave. ((NUFORC Note: Chinese rocket re-entry. PD)),42584
7/27/16 21:45,Lake Hughes,CA,Fireball,unknown,"""Missile test"" my ((obscenity deleted)).",42584
7/27/16 21:45,San Jose,CA,Fireball,1 minute,My friend and I saw a fireball moving across the sky. ((anonymous report)) ((NUFORC Note: Space debris? PD)),42584
7/27/16 21:45,Mesquite,NV,Fireball,2-3 minutes,I think it was a meteor. ((NUFORC Note: Chinese rocket re-entry. PD)),42584
7/27/16 21:45,Stockton,CA,Fireball,1 minutes,Ufo over stockton plane crash? Meteor? Drone? video disappeared on one camera. ((NUFORC Note: Space debris. PD)),42584
7/27/16 21:40,Tracy,CA,Fireball,15 seconds,Slow-moving fireball moving E to W in the S sky. Yellowish in color and pulsing as it broke up. ((NUFORC Note: Space debris. PD)),42584
7/27/16 21:40,Truckee,CA,Fireball,15 seconds,Sighted object(s) of two red-orange glowing balls with comet-like glowing tails. ((NUFORC Note: Chinese rocket re-entry. PD)),42584
7/27/16 21:40,Ventura,CA,Fireball,1 minute,Fireballs flying over two trees. ((NUFORC Note: Chinese rocket re-entry. PD)),42584
7/27/16 21:40,Reno,NV,Fireball,40 seconds+,"Two large fireballs streak across the sky over Reno, NV. ((NUFORC Note: Space debris. PD))",42584
7/27/16 21:40,Phelan,CA,Fireball,3 minutes,I seen a strange looking object in the sky. ((NUFORC Note: Chinese rocket re-entry. PD)),42584
7/27/16 21:40,Bakersfield,CA,Fireball,2 minutes,Large orange-red fireball appear in the NW sky and fall to the E of Bakersfield. ((NUFORC Note: Space debris. PD)),42584
7/27/16 21:40,Tonopah,NV,Fireball,90 seconds,Pinkish fireball that broke apart and changed color to a bluish on a smaller pc. 4 witnesses.,42584
7/27/16 21:37,Stockton,CA,Fireball,2 minutes,"Slow moving, gradually descending bright white light with trail that broke up into 2 red objs. ((NUFORC Note: Space debris. PD))",42584
7/27/16 21:37,Livermore,CA,Fireball,30 seconds,Saw a large ball of light traveling West to East in Livermore. ((NUFORC Note: Space debris. PD)),42584
7/27/16 21:35,Los Angeles,CA,Fireball,30 seconds,A fireball above the southern horizon seen from the district of El Sereno in northeast Los Angeles.,42584
7/27/16 21:35,Incline Village,NV,Fireball,2 minutes,Bright yellow round object with orange and purple tail seen over North Lake Tahoe.object. ((NUFORC Note: Space debris. PD)),42584
7/27/16 21:35,Dublin,CA,Fireball,1 minute,"To S, emerging just above the treeline, moving W to E, a white fireball similar to a jet engine. ((NUFORC Note: Space debris. PD)",42584
7/27/16 21:35,Victorville,CA,Fireball,1 minute,"UFO, fire, contrail. ((NUFORC Note: Reported to be re-entering Chinese rocket shell. PD))",42584
7/27/16 21:35,Costa Mesa,CA,Fireball,30 seconds,Fireball for 30 seconds then disappeared. ((anonymous report))((NUFORC Note: Re-entering space debris. PD)),42584
7/27/16 21:35,Waterford,CA,Fireball,1 minute,I saw a slow moving object moving from West to east. ((NUFORC Note: Space debris. PD)),42584
7/27/16 21:35,Frazier Park,CA,Fireball,35 seconds,A fireball in the sky that was moving slow and right above the mountains across the sky. ((NUFORC Note: Space debris. PD)),42584
7/27/16 21:35,Sacramento,CA,Fireball,2 minutes,Fireball with trail similar to a comet seen navigating over roof tops of suburb of city. ((NUFORC Note: Space debris. PD)),42584
